序号,焊接电流(A),焊接速度(cm/min),摆动频率(Hz),摆动幅度(mm),冷却时间(s),平均宽度(mm),平均高度(mm)
142,78.9078,26.7931,3.2814,1.5382,40,8.4993,1.8616
143,67.9036,27.8455,2.7117,1.4599,40,7.4797,1.8317
144,61.1459,25.8467,2.6025,2.1355,40,10.2335,1.7094
145,89.7173,29.4931,2.7275,2.4222,40,12.3875,1.6929
146,85.0257,24.925,2.046,3.7612,40,13.8486,1.7969
147,89.3796,23.9795,2.5304,2.8552,40,13.5923,1.8645
148,69.8696,29.3086,2.3935,2.767,40,11.8079,1.5733
149,68.4305,25.1077,2.4543,1.0901,40,6.2644,2.1051
150,93.6759,23.7315,3.6284,2.7187,40,13.9607,1.8266
151,95.8569,29.7376,2.1813,3.3178,60,13.519,1.7246
152,74.1161,26.0335,3.4838,3.0294,60,12.7292,1.6234
153,73.0778,23.3923,2.0813,1.2448,60,6.9733,2.1666
154,65.0913,24.7596,2.2594,1.7905,60,8.8161,1.8814
155,79.6413,22.5858,3.4289,2.3663,60,12.3487,1.8408
156,69.1793,23.8511,2.7735,2.6792,60,12.3236,1.7504
157,66.8418,28.6616,3.0322,2.8843,60,11.9,1.5412
158,62.0517,27.232,3.9116,1.5475,60,7.7253,1.731
159,98.562,28.4629,3.7862,2.2631,60,12.4296,1.7614
160,81.9493,22.0908,2.284,3.6208,60,13.8561,1.8703
161,64.2432,22.4298,2.5095,2.938,60,12.4335,1.763
162,99.8177,25.4411,3.9768,3.1486,60,14.5308,1.7785
163,77.815,24.6322,3.3351,1.6976,60,9.2343,1.9035
164,76.4638,29.6008,3.0612,2.5195,60,11.9117,1.5926
165,62.7383,24.3334,3.2799,3.5323,60,12.8639,1.6008
166,82.7845,29.9478,3.86,1.1744,60,6.7639,1.9028
167,80.8762,28.7216,2.2377,2.2386,60,10.9058,1.7558
168,70.6159,26.5897,3.1373,3.855,60,13.2139,1.57
169,88.1806,28.8866,3.5645,3.7228,60,13.872,1.5676
170,80.6718,22.1685,3.1191,1.6422,60,9.3901,2.0322
171,75.7747,25.5725,2.8205,1.9544,60,10.0174,1.8379
172,71.9897,26.8633,3.9403,1.9838,60,9.9318,1.6776
173,97.1488,22.6575,3.6433,1.7688,60,10.8899,2.0702
174,87.2463,27.314,3.3744,1.0204,60,6.6877,2.1514
175,96.3632,24.4132,2.1507,3.064,60,13.9179,1.946
176,90.5486,23.2584,3.1754,1.2158,60,8.0887,2.2279
177,76.9872,22.9492,2.6557,2.5686,60,12.6653,1.8489
178,83.4973,25.7886,3.4538,3.9197,60,14.1259,1.6499
179,72.2651,23.5795,2.9088,3.998,60,13.7251,1.6905
180,92.7329,25.2712,3.7507,1.3891,60,8.7582,2.0593
181,63.4723,28.259,2.9858,3.501,60,12.3634,1.5052
182,86.9491,29.1811,2.5735,3.6508,60,13.4977,1.6364
183,94.8216,27.5107,3.2017,3.178,60,13.8911,1.7266
184,85.804,27.6177,2.9514,1.321,60,7.7215,2.0126
185,97.8261,27.9452,3.7062,3.3586,60,14.2849,1.6789
186,60.3165,26.2545,3.8359,1.8788,60,9.1548,1.6713
187,92.8292,28.2054,2.8755,2.058,60,11.108,1.8363
188,75.1192,26.4372,2.3234,3.2608,60,12.6887,1.6986
189,65.9313,23.0818,2.4133,2.1924,60,10.7426,1.8439
190,91.3682,24.1723,2.0327,2.4546,60,12.8336,1.9788
191,84.3566,27.0499,3.5504,3.413,60,13.5496,1.6259
192,78.9078,26.7931,3.2814,1.5382,60,8.3826,1.8905
193,67.9036,27.8455,2.7117,1.4599,60,7.3598,1.859
194,61.1459,25.8467,2.6025,2.1355,60,10.1196,1.7329
195,89.7173,29.4931,2.7275,2.4222,60,12.2626,1.7203
196,85.0257,24.925,2.046,3.7612,60,13.7374,1.8183
197,89.3796,23.9795,2.5304,2.8552,60,13.484,1.8901
198,69.8696,29.3086,2.3935,2.767,60,11.6835,1.5959
199,68.4305,25.1077,2.4543,1.0901,60,6.1527,2.1339
200,93.6759,23.7315,3.6284,2.7187,60,13.8531,1.8535
201,95.8569,29.7376,2.1813,3.3178,80,13.3934,1.7496
202,74.1161,26.0335,3.4838,3.0294,80,12.6147,1.6457
203,73.0778,23.3923,2.0813,1.2448,80,6.8667,2.1957
204,65.0913,24.7596,2.2594,1.7905,80,8.7054,1.907
205,79.6413,22.5858,3.4289,2.3663,80,12.2446,1.8666
206,69.1793,23.8511,2.7735,2.6792,80,12.2156,1.7732
207,66.8418,28.6616,3.0322,2.8843,80,11.7776,1.5629
208,62.0517,27.232,3.9116,1.5475,80,7.6072,1.757
209,98.562,28.4629,3.7862,2.2631,80,12.3078,1.7909
210,81.9493,22.0908,2.284,3.6208,80,13.7535,1.8917
211,64.2432,22.4298,2.5095,2.938,80,12.3299,1.784
212,99.8177,25.4411,3.9768,3.1486,80,14.4181,1.8049
213,77.815,24.6322,3.3351,1.6976,80,9.124,1.9316
214,76.4638,29.6008,3.0612,2.5195,80,11.7865,1.6173
215,62.7383,24.3334,3.2799,3.5323,80,12.7545,1.6193
216,82.7845,29.9478,3.86,1.1744,80,6.6376,1.9338
217,80.8762,28.7216,2.2377,2.2386,80,10.7832,1.7824
218,70.6159,26.5897,3.1373,3.855,80,13.0978,1.5885
219,88.1806,28.8866,3.5645,3.7228,80,13.7489,1.5897
220,80.6718,22.1685,3.1191,1.6422,80,9.2873,2.061
221,75.7747,25.5725,2.8205,1.9544,80,9.9043,1.8647
222,71.9897,26.8633,3.9403,1.9838,80,9.8148,1.7036
223,97.1488,22.6575,3.6433,1.7688,80,10.7855,2.1014
224,87.2463,27.314,3.3744,1.0204,80,6.5694,2.1837
225,96.3632,24.4132,2.1507,3.064,80,13.8082,1.972
226,90.5486,23.2584,3.1754,1.2158,80,7.9825,2.2601
227,76.9872,22.9492,2.6557,2.5686,80,12.5601,1.8735
228,83.4973,25.7886,3.4538,3.9197,80,14.0121,1.6704
229,72.2651,23.5795,2.9088,3.998,80,13.618,1.7088
230,92.7329,25.2712,3.7507,1.3891,80,8.6461,2.0912
231,63.4723,28.259,2.9858,3.501,80,12.2422,1.5239
232,86.9491,29.1811,2.5735,3.6508,80,13.3738,1.6586
233,94.8216,27.5107,3.2017,3.178,80,13.7722,1.752
234,85.804,27.6177,2.9514,1.321,80,7.6023,2.0436
235,97.8261,27.9452,3.7062,3.3586,80,14.1647,1.7041
236,60.3165,26.2545,3.8359,1.8788,80,9.0396,1.6957
237,92.8292,28.2054,2.8755,2.058,80,10.987,1.8657
238,75.1192,26.4372,2.3234,3.2608,80,12.573,1.7203
239,65.9313,23.0818,2.4133,2.1924,80,10.637,1.8681
240,91.3682,24.1723,2.0327,2.4546,80,12.7247,2.0063
241,84.3566,27.0499,3.5504,3.413,80,13.432,1.6485
242,78.9078,26.7931,3.2814,1.5382,80,8.2658,1.9194
243,67.9036,27.8455,2.7117,1.4599,80,7.2399,1.8863
244,61.1459,25.8467,2.6025,2.1355,80,10.0057,1.7565
245,89.7173,29.4931,2.7275,2.4222,80,12.1377,1.7477
246,85.0257,24.925,2.046,3.7612,80,13.6263,1.8397
247,89.3796,23.9795,2.5304,2.8552,80,13.3757,1.9158
248,69.8696,29.3086,2.3935,2.767,80,11.5592,1.6185
249,68.4305,25.1077,2.4543,1.0901,80,6.041,2.1628
250,93.6759,23.7315,3.6284,2.7187,80,13.7456,1.8805
